,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
248,悦景湾,总价94-160(万/套),14000.0, 元/㎡(均价),住宅,柯桥区,建面 80-113㎡,94.0,160.0,80.0,113.0
249,绿城明月春江,总价76-160(万/套),8800.0, 元/㎡(均价),住宅,诸暨市,建面 76-190㎡,76.0,160.0,76.0,190.0
250,理想大地·望宸里,总价176-260(万/套),15050.0, 元/㎡(均价),住宅,南湖区,建面 117-165㎡,176.0,260.0,117.0,165.0
251,云锦天樾,总价220-330(万/套),16000.0, 元/㎡(均价),别墅,德清县,建面 129-206㎡,220.0,330.0,129.0,206.0
252,鸿翔凤语江南,总价340-600(万/套),23800.0, 元/㎡(均价),别墅,桐乡市,建面 155-187㎡,340.0,600.0,155.0,187.0
253,观澜里,总价150(万/套),20000.0, 元/㎡(均价),商业,上虞区,,150.0,150.0,,
254,天阅美湖居,总价110-150(万/套),12800.0, 元/㎡(均价),住宅,杭州湾新区,建面 87-120㎡,110.0,150.0,87.0,120.0
255,新邻里广场,总价80(万/套),15000.0, 元/㎡(均价),商业,嵊州市,,80.0,80.0,,
256,正黄未来天辰苑,总价110-145(万/套),12750.0, 元/㎡(均价),住宅,秀洲区,建面 89-118㎡,110.0,145.0,89.0,118.0
257,京杭印,总价135-143(万/套),14500.0, 元/㎡(均价),住宅,德清县,建面 89-99㎡,135.0,143.0,89.0,99.0
258,鸿翔北辰金邸,总价95-124(万/套),13000.0, 元/㎡(均价),住宅,嘉善县,建面 72-89㎡,95.0,124.0,72.0,89.0
259,钱塘云湾中心,总价63-72(万/套),18000.0, 元/㎡(均价),写字楼,海宁市,建面 35-40㎡,63.0,72.0,35.0,40.0
260,绿城九龙仓柳岸晓风,,,,别墅,滨江,,,,,
261,金辉蓝光星奕云著,268,, (万/套)(总价),住宅,临平区,建面 89-125㎡,268.0,268.0,89.0,125.0
262,万科大溪谷,总价203(万/套),20800.0, 元/㎡(均价),住宅,余杭,建面 90-139㎡,203.0,203.0,90.0,139.0
263,中城汇MIDTOWN,,,,住宅,拱墅,建面 84-142㎡,,,84.0,142.0
264,金科碧桂园博翠府,总价426(万/套),30700.0, 元/㎡(均价),住宅,拱墅,建面 122-139㎡,426.0,426.0,122.0,139.0
265,和家园雍园,总价915(万/套),55000.0, 元/㎡(均价),别墅,西湖,建面 181-183㎡,915.0,915.0,181.0,183.0
266,钱江国际时代广场,,,,商业类,上城,建面 56㎡,,,56.0,56.0
267,融创东南海,,23000.0, 元/㎡(均价),商业类,萧山,建面 50㎡,,,50.0,50.0
268,融创东麟府,388,, (万/套)(总价),别墅,萧山,建面 155-190㎡,388.0,388.0,155.0,190.0
269,绿城九龙仓桂语江南,,,,别墅,萧山,建面 142-215㎡,,,142.0,215.0
270,云悦湾,总价454(万/套),40230.0, 元/㎡(均价),住宅,上城,,454.0,454.0,,
271,融信沐澜,,,,住宅,余杭,建面 89-112㎡,,,89.0,112.0
272,金隅中铁诺德都会森林,总价727(万/套),59200.0, 元/㎡(均价),住宅,上城,建面 124-189㎡,727.0,727.0,124.0,189.0
273,首开东城金茂府,总价558(万/套),47170.0, 元/㎡(均价),住宅,上城,建面 120-165㎡,558.0,558.0,120.0,165.0
274,金地宋都都会钱塘,总价222(万/套),24652.0, 元/㎡(均价),住宅,钱塘区,建面 89-125㎡,222.0,222.0,89.0,125.0
275,碧桂园良樾,总价283(万/套),20358.0, 元/㎡(均价),别墅,余杭,建面 139-156㎡,283.0,283.0,139.0,156.0
276,滨江碧桂园翡翠江南,总价296(万/套),33300.0, 元/㎡(均价),住宅,萧山,建面 127-140㎡,296.0,296.0,127.0,140.0
277,滨江碧桂园卧城印象,总价242(万/套),25200.0, 元/㎡(均价),住宅,萧山,建面 118㎡,242.0,242.0,118.0,118.0
278,中粮梦栖祥云,,,,别墅,余杭,建面 142-162㎡,,,142.0,162.0
279,滨江碧桂园卧城印象,836,, (万/套)(总价),别墅,萧山,建面 199㎡,836.0,836.0,199.0,199.0
280,融创金成江南府,总价2300(万/套),38588.0, 元/㎡(均价),别墅,余杭,建面 148-237㎡,2300.0,2300.0,148.0,237.0
281,碧桂园越溪府,总价500(万/套),25000.0, 元/㎡(均价),别墅,萧山,建面 218㎡,500.0,500.0,218.0,218.0
282,香港兴业耦园,,,,别墅,余杭,建面 141-237㎡,,,141.0,237.0
283,东南钱江蓝湾,,,,别墅,萧山,,,,,
284,融创金成英特学府,,,,别墅,余杭,,,,,
285,合景天銮,,,,别墅,拱墅,建面 162㎡,,,162.0,162.0
286,融信萧山公馆,,,,别墅,萧山,建面 198㎡,,,198.0,198.0
287,新城璟隽公馆,总价75(万/套),23000.0, 元/㎡(均价),商业类,萧山,建面 30-40㎡,75.0,75.0,30.0,40.0
288,鸿盛家园,总价187(万/套),15000.0, 元/㎡(均价),住宅,临安,建面 129-138㎡,187.0,187.0,129.0,138.0
289,景瑞阳光城法兰公园,,,,别墅,临平区,建面 210-215㎡,,,210.0,215.0
290,云水山居,总价117(万/套),12600.0, 元/㎡(均价),住宅,富阳,建面 146-156㎡,117.0,117.0,146.0,156.0
291,碧桂园金科尚合府,,,,住宅,拱墅,建面 94-139㎡,,,94.0,139.0
292,君望花苑,总价410(万/套),24500.0, 元/㎡(均价),别墅,富阳,建面 160-180㎡,410.0,410.0,160.0,180.0
293,朗诗枫荟,总价83.1(万/套),21000.0, 元/㎡(均价),商业类,临平区,建面 40-62㎡,83.0,83.0,40.0,62.0
294,秀隐翠园,,,,住宅,拱墅,建面 104-200㎡,,,104.0,200.0
295,远洋西溪公馆,,,,住宅,余杭,建面 56-141㎡,,,56.0,141.0
296,海伦堡棠锦,283,, (万/套)(总价),住宅,余杭,建面 89-135㎡,283.0,283.0,89.0,135.0
297,华夏之心,,,,住宅,余杭,建面 89-139㎡,,,89.0,139.0
298,北辰国颂府,871,, (万/套)(总价),别墅,萧山,建面 177-184㎡,871.0,871.0,177.0,184.0
299,融信杭州世纪,628,, (万/套)(总价),住宅,萧山,建面 114-199㎡,628.0,628.0,114.0,199.0
300,绿城西溪云庐,总价2400(万/套),100000.0, 元/㎡(均价),别墅,西湖,建面 216-305㎡,2400.0,2400.0,216.0,305.0
