,house_name,total_price,total_price_desc,unit_price,info,location1,area,longitude,dimension,latitude,distance_rg
13008,场中路2401弄 ,223.0,万,55792.0,1室1厅 | 39.97平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,彭浦,39.97,121.444074,31.306418,31.306418,9.130078510556128
13009,汾西小区 ,295.0,万,58847.0,2室1厅 | 50.13平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,彭浦,50.13,121.463196,31.314595,31.314595,9.618398038006337
13010,闻喜路1110弄 ,240.0,万,59836.0,1室0厅 | 40.11平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,彭浦,40.11,121.443861,31.308867,31.308867,9.394856712896331
13011,艺康苑 ,790.0,万,67424.0,3室2厅 | 117.17平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,彭浦,117.17,121.443391,31.320751,31.320751,10.670578378109644
13012,阳曲小区 ,332.0,万,60069.0,2室1厅 | 55.27平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,彭浦,55.27,121.462125,31.312206,31.312206,9.36720879261864
13013,驰骋新苑 ,240.0,万,54472.0,1室1厅 | 44.06平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,彭浦,44.06,121.446257,31.283504,31.283504,6.678636303493827
13014,临汾路1565弄 ,238.0,万,55869.0,1室1厅 | 42.6平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,42.6,121.437397,31.309581,31.309581,9.680032848232074
13015,临汾路1244弄 ,300.0,万,56981.0,1室1厅 | 52.65平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,52.65,121.44315,31.310895,31.310895,9.630344253546989
13016,平顺路825弄 ,275.0,万,58030.0,1室1厅 | 47.39平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,彭浦,47.39,121.452578,31.317923,31.317923,10.150146879443287
13017,临汾路1515弄 ,256.0,万,56351.0,1室1厅 | 45.43平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,彭浦,45.43,121.436702,31.308753,31.308753,9.619281008658442
13018,平顺路825弄 ,385.0,万,56180.0,2室1厅 | 68.53平米 | 南 北 | 精装 | 低楼层(共13层) | 1994年建 | 塔楼,彭浦,68.53,121.452578,31.317923,31.317923,10.150146879443287
